sample_index,theta1,theta2,theta3,theta4,theta5,theta6,position_error_norm,rotation_error_norm,jacobian_error_norm
108,1.0991818760592627,-2.5230210482656057,1.6054222302135517,2.4529362645789203,2.081999707453162,-0.8237527390477245,3.927683650008203e-16,1.273735995075827e-15,9.331655478043115e-16
109,2.187243003717859,-1.6951182991352627,3.4133786845762377,-1.2465493630627857,1.8299927777377618,-0.3236081872718011,2.423651445728339e-16,1.3122400555068526e-15,4.373326992180473e-16
110,-1.3960846853185844,-0.2949503383531402,0.7503747277579653,-2.5741681343382687,1.0599735094915472,0.683386923594522,2.19536777917256e-16,1.025079205553247e-15,4.61006639517823e-16
111,1.906075957052947,-0.0032672378264115842,1.1854482280446597,-0.5707599029860506,0.4241459618918415,0.23509785901632552,2.082824332422744e-16,1.3918148175361878e-15,3.2040887339279246e-16
112,3.0849962310300865,-0.7777093736862879,2.380851361653487,-0.6673116238848773,2.83742615688522,-0.009681888150702811,2.797157557069881e-16,1.3933188378624375e-15,3.4551835827609915e-16
113,-2.266925137459019,-1.6500159956822529,0.2686666753910676,-1.8477299663295543,0.054773221099727834,-0.14670106218948686,2.133075126106637e-16,1.106753577673203e-15,4.513265775927252e-16
114,0.8341496427011426,-1.7074395978148398,1.6815270860211085,2.847097491636371,2.331085676882238,0.12828984000714683,3.925231146709438e-16,1.3256011772999124e-15,7.45868561318912e-16
115,-1.3358465743066836,-0.2678083231902124,0.9403884675226379,-1.0828750707966024,2.8181009247111404,0.09276205359512724,2.368389951639684e-16,1.1564453092915794e-15,3.191714418808752e-16
116,1.5023712863914551,-1.064063535174208,2.6137568360379806,-1.2438235926080816,0.7482533910426551,-0.5573740298903911,2.8744111503786724e-16,1.2600542234970832e-15,5.463872964886826e-16
117,-2.1362623026827805,-0.32678265024390063,1.1329877330004563,0.3812342453691846,2.4551207179382595,0.8912077034397405,2.302416593912984e-16,1.222191173616771e-15,4.994828920359532e-16
118,-0.38200519677800404,-1.3617309976745133,3.9788069957400993,1.0825043572699493,2.5253791736654363,1.264019463348388,2.603703785810335e-16,1.507210177000326e-15,6.270323519165817e-16
119,1.7830569846219029,-2.1185337031207245,2.248682934950289,-2.4682562246498216,2.024058592348395,1.4297972045097265,3.597533769998862e-16,1.187990514796716e-15,5.802152472078331e-16
120,0.07893879866068998,-1.4742715185438053,0.1433710056726527,2.8506020384411666,0.31930832080349225,-1.4410116470227807,1.3755821205440478e-16,1.2111898441779297e-15,3.1012700576567566e-16
121,-1.5743870086693816,-2.429620871812206,1.8204713696470494,0.09974436779409679,0.9689668419886102,-1.409984084714858,3.386756047465071e-16,1.4658813687339944e-15,6.08819748890539e-16
122,-2.4080777168547947,-1.600288617226187,0.24211380330614451,1.228776298781463,0.6417636787269171,-0.6214952740193751,1.2276156489239667e-16,1.1060518526157679e-15,3.0852363045994636e-16
